Household Id,Household size,No. of children,Own home?,Size of home (sq. ft),Employement status,Annual household income (USD),Vehicles owned,UIN,Full name,Date of birth,Account number,Phone number,Email id,Address,Disability status,Immigration status,Token ID,Gender
8660130561,2,0,yes,1285,employed_parttime,5001_10000,four_wheeler,9937286382,Maria Cristina Gonzales,01-07-1974,1717875761,+745 5218119193,maria@myland.com,"21532 Emily Radial Apt. 152 Spencerville, NH 41394",not_disabled,non_immigrant,068130455742399305784829962633186139,Female
8383206050,2,1,no,697,employed_fulltime,0_5000,two_wheeler,7675948129,Juan Carlos Santos,18-06-1947,5993556155,+745 9921926785,juan@myland.com,"604 Smith Forest Apt. 901 West Haroldview, DC 08515",not_disabled,non_immigrant,850304202715624296041166059049263792,Female
9576485907,5,4,no,710,employed_parttime,0_5000,bicycle,3112264971,Angelica Reyes,27-03-1960,3137767926,+745 3378765413,angelica@myland.com,"738 Lopez Pike Staceyside, DE 53654",not_disabled,non_immigrant,245388731738822991142974328199577296,Male
1651191780,8,6,yes,123,unemployed,5001_10000,two_wheeler,2865414427,Jose Manuel Garcia,29-09-1989,2272257658,+745 1274114288,jose@myland.com,"194 Christopher Rapids Millerfort, NM 98485",not_disabled,non_immigrant,944050462013912686120363288879302103,Female
2002735624,8,7,no,262,employed_parttime,0_5000,bicycle,7531321987,Marianne Cruz,27-01-1943,8299776265,+745 1994416676,marianne@myland.com,USNS Mathews FPO AA 34378,not_disabled,non_immigrant,850496652659689460177344664014412565,Female
9963403421,5,3,yes,292,employed_fulltime,0_5000,two_wheeler,6678351775,Miguel Rodriguez,04-03-1936,8598277122,+745 4751151222,miguel@myland.com,"599 Clements Street Carterport, TN 05278",not_disabled,non_immigrant,667897074336572487401694874823241543,Male
8681941066,8,3,yes,1022,employed_parttime,0_5000,bicycle,7279622516,Ana Isabel Fernandez,18-05-1942,6147331141,+745 3884244853,ana@myland.com,"671 Anthony Pine Suite 315 Port Rebecca, KS 27420",not_disabled,non_immigrant,482239458780851645235646735030501705,Female
8034431233,2,0,yes,633,employed_parttime,0_5000,two_wheeler,9513724339,John Michael Ramos,20-07-1979,3623598968,+745 2196211347,john@myland.com,"7815 Cook Prairie Suite 272 Saraton, PW 33198",not_disabled,non_immigrant,354978330366671606369117366617433343,Male
1687569339,9,6,no,765,self_employed,0_5000,two_wheeler,7757811424,Maria Theresa Gutierrez,18-07-1980,3377875728,+745 2140395187,maria@myland.com,"153 Dylan Meadows Apt. 994 East Davidshire, NC 78959",not_disabled,non_immigrant,499647728490457580821022093469529740,Female
4495111648,10,4,no,711,self_employed,5001_10000,three_wheeler,2138353612,Luis Antonio Hernandez,12-10-1984,8951253591,+745 3511369259,luis@myland.com,"35123 Reed Village Dianaborough, NV 65145",not_disabled,non_immigrant,070110109129734449638966169556322805,Female
9771668636,5,2,no,1669,others,5001_10000,four_wheeler,4419977766,Ma. Concepcion Reyes,11-01-1964,7122873198,+745 7429153406,ma.@myland.com,"48412 Bryan Motorway West Alexismouth, PR 01200",not_disabled,non_immigrant,201270333837489622814410825685956336,Female
9492352112,9,0,yes,1530,self_employed,0_5000,two_wheeler,4528781976,Carlo Jose Martinez,16-04-1956,7257211622,+745 9690586905,carlo@myland.com,"415 Todd Rapid Apt. 751 East Michelle, MT 70041",not_disabled,non_immigrant,277337682995863698141428769303449949,Male
1847191316,3,2,no,1276,employed_parttime,5001_10000,two_wheeler,5288534752,Marjorie Lim,29-07-1996,9861732941,+745 5029057453,marjorie@myland.com,"5989 Burton Turnpike Apt. 833 Raymondberg, OR 23753",not_disabled,non_immigrant,551123879821214013007647198532760376,Male
5522754584,5,4,no,1682,employed_fulltime,5001_10000,two_wheeler,1334945983,Carlo Miguel Castillo,03-08-1965,9175476371,+745 5328572168,carlo@myland.com,"3113 Dustin Walks Harrismouth, AS 44622",not_disabled,non_immigrant,793056161600032685013828234800630217,Male
